科目,题面,第1空答案,第2空答案,第3空答案,第4空答案,第5空答案,第6空答案,第7空答案,第8空答案,第9空答案,第10空答案,来源
道法,法律具有三个最为显著的特征：一是法律是由国家__________或认可的；二是法律是由国家强制力保证实施的；三是法律对全体社会成员具有__________。,制定,普遍约束力,,,,,,,,,（二）法治教育 第一套：全面依法治国（一）：法律在我们身边、法律伴我们成长；法不可违、预防犯罪、善用法律；社会规则与社会秩序、规则与自由T1
道法,__________规范着我们的行为，保护着我们的权利，协调着人与人之间的关系。,法律,,,,,,,,,,（二）法治教育 第一套：全面依法治国（一）：法律在我们身边、法律伴我们成长；法不可违、预防犯罪、善用法律；社会规则与社会秩序、规则与自由T2
道法,犯罪的三个基本特征是____________________、刑事违法性、应受刑罚处罚性。,严重社会危害性,,,,,,,,,,（二）法治教育 第一套：全面依法治国（一）：法律在我们身边、法律伴我们成长；法不可违、预防犯罪、善用法律；社会规则与社会秩序、规则与自由T3
道法,刑罚分为__________和附加刑。,主刑,,,,,,,,,,（二）法治教育 第一套：全面依法治国（一）：法律在我们身边、法律伴我们成长；法不可违、预防犯罪、善用法律；社会规则与社会秩序、规则与自由T4
道法,违法行为违反法律的类型分为：__________、行政违法行为、刑事违法行为,民事违法行为,,,,,,,,,,（二）法治教育 第一套：全面依法治国（一）：法律在我们身边、法律伴我们成长；法不可违、预防犯罪、善用法律；社会规则与社会秩序、规则与自由T5
道法,__________是决定当代中国命运的关键一招，也是决定实现中华名族伟大复兴的关键一招。,改革开放,,,,,,,,,,7.国情教育主题集训卷T1
道法,__________已经成为决定综合国力竞争的决定性因素。,科技创新能力,,,,,,,,,,7.国情教育主题集训卷T2
道法,走绿色发展道路，要坚持绿色富国、绿色惠民，将__________作为最普惠的民生福祉。,良好生态环境,,,,,,,,,,7.国情教育主题集训卷T3
道法,我国统筹国际国内两个大局，走和平发展道路，奉行__________的开放战略。,互利共赢,,,,,,,,,,7.国情教育主题集训卷T4
道法,人世间的美好梦想，都是通过__________实现的。,诚实劳动和不懈奋斗,,,,,,,,,,7.国情教育主题集训卷T5
道法,__________关系人民幸福、国家发展进步，是实现国家利益最根本的保障，是民族复兴的根基。,国家安全,,,,,,,,,,那张卷子T1
